vietnamese,bru,pronunciation,example_bru,example_pronunciation,example_vietnamese,source_file
Sa (chim),"Páh, alỗi",páh a lôi,,,,Bru.txt
Sách,Chơâiq (Pơ) saráq,Châỉ-q xa-rả-q,,,,Bru.txt
Sách,Saráq pỡng,xa rả pơng,,,,Bru.txt
Sạch,Bráh,B-rả-h,,,,Bru.txt
Sạch đẹp,Bráh o,bơ rash ò,,,,Bru.txt
Sạch sẽ,Bráh briêl,Brảh briêỉ,,,,Bru.txt
"Sách, vở","Pơ saráq, pờq chơâiq",Pơ xa-rảq pơ châiq,,,,Bru.txt
Sái,Sarlữơq,săr lứa,,,,Bru.txt
Sài (đầu),Triang vơah,triang vơah,,,,Bru.txt
Sai bảo,"ớn, tễng","ân, têêng",,,,Bru.txt
"Sai, Lỗi",Lôih,lôih,,,,Bru.txt
Sạn,"Sarhánh, ntrơăh",xăr hăn ần trơah,,,,Bru.txt
Sàn (ngoài nhà),Ntrỡn,ần trơn,,,,Bru.txt
Sàn (trong nhà),Tapang,ta pang,,,,Bru.txt
San sát,Tớt ratớt,Tật ra-tật,,,,Bru.txt
Sản xuất giỏi,Khếh ranáq,khê ra nả,,,,Bru.txt
Sản xuất liên hoàn,Ranáq tatáq toi,ra nả ta tả toi,,,,Bru.txt
Sản xuất mới,Tutáq tamái,tu tả ta may,,,,Bru.txt
Sản xuất nông nghiệp,Tutáq dống sarái,tu tả đôông xa ray,,,,Bru.txt
Sáng,Pơang,Pằng,,,,Bru.txt
Sáng,Tanrp,Ta-rưp,,,,Bru.txt
Sáng,Tarưp,Ta-rưp,,,,Bru.txt
Sàng (dt),Kanắng,Ca nơơng,,,,Bru.txt
Sáng mai,Tarưp pamõ,Ta-rup par-nơ,,,,Bru.txt
Sáng nay,Tarưp nái,Ta-rưp nay,,,,Bru.txt
Sao,Mantỗr,măn tôr,,,,Bru.txt
Sào,"ranuaih, ralơaq",ra noáih ra lơaq,,,,Bru.txt
Sáo (chim),Sau rau,xao rao,,,,Bru.txt
Sáp,Tarang,ta rang,,,,Bru.txt
Sát nhau,Tambrĩng,tăm bờ ring,,,,Bru.txt
Sau,"Ntun, tun","ần tùn, tùn",,,,Bru.txt
Sáu,Tapơât,Ta pất,Yơng sâm 65 (Tapơât chứt la-sỡng) kilô mễt,Dơng xâm ta-pất chứt la-xơng ki-lô-mét.,Xa khoảng 65 kilômét.,Bru.txt
Sáu,Muôi,Ta-pơât,,,,Bru.txt
Sáu mươi,Tapơât chứt,Tapơât chứt,Yơng sâm 65 (Tapơât chứt la-sỡng) kilô mễt,Dơng xâm ta-pất chứt la-xơng ki-lô-mét,Xa khoảng 65 kilômét,Bru.txt
Sau thu hoạch,Mơâm sot ramơat,mâm xót ra mằt,,,,Bru.txt
Say,Bũl,bũl,,,,Bru.txt
Say nắng,Bũl phũak,bũl phoác,,,,Bru.txt
Say ngủ,Langêt,la ngệt,,,,Bru.txt
Say rượu,Bui blăng,Bũl bơ lăng,,,,Bru.txt
Sắc,Bớk,bấc,,,,Bru.txt
Săn,Tránh,tranh,,,,Bru.txt
Sắn,Pơong arán,Pong a-răn,,,,Bru.txt
Săn bắn,"Rơăh, rưrơăh","rơăh, ru rơăh",,,,Bru.txt
Sắp,Mơanh,Măn,,,,Bru.txt
Sắp xếp,Sarĩap,xa riap,,,,Bru.txt
Sắt,Tak,tạc,,,,Bru.txt
Sấm,"Karứm, krứm","ca rừm, cơ rừm",,,,Bru.txt
Sẩm trời,Tốk-ốk,tôôc - ôôc,,,,Bru.txt
Sân nhà,Nchăh,ần chơah,,,,Bru.txt
Sân sàn,Nchian,ần chian,,,,Bru.txt
Sân trường,Nchăh dông ariên,An-chãh đông a-rỉên,,,,Bru.txt
Sấp,Tatứp,ta tứp,,,,Bru.txt
Sập xuống,Katứp,ca tứp,,,,Bru.txt
Sâu,Yarũ,da ru,,,,Bru.txt
Sấu (cây),Aluang ralu,a loang ra lu,,,,Bru.txt
Sâu (con),Prưi,pơ rưi,,,,Bru.txt
Sâu quảng,Anha,a nha,,,,Bru.txt
Sậy,Katau tamứr,ka tao tamứr,,,,Bru.txt
Sẩy thai,Lot,lót,,,,Bru.txt
Sẽ,Tơâq nái,Tâ-q nay,,,,Bru.txt
Sẽ (thì),Nơâp,Mâp,,,,Bru.txt
Siêng năng,Sarắng,Xa-râng,,,,Bru.txt
Sim,Khlĩm,khơ lim,,,,Bru.txt
Sinh,Kanỡt,ca nớt,,,,Bru.txt
Sinh (chào đời),Palơoh mơat,pa loah mằt,,,,Bru.txt
Sinh (đẻ),Rôiq (Kanỡt),Rội-q ( Ca-nơt),,,,Bru.txt
sinh dục nam,"Nhot, nhâu, klái","nhọt, nhau, ca lay",,,,Bru.txt
sinh dục nữ,"Tứt, klán, kupơq, nhũq","tứt ca lăn, cu pốh, nhú",,,,Bru.txt
Sinh hoạt,Rôm sarhống,rôm sărhống,,,,Bru.txt
Sinh sôi,Rứh liêi,Rứh liêỉ,,,,Bru.txt
Sinh sống,ỡt cha,ơt cha,,,,Bru.txt
Sọ,"Atar, katar","Atar, katar",,,,Bru.txt
So (đũa),Talĩ,ta li,,,,Bru.txt
So sánh,Tapling,ta pơ ling,,,,Bru.txt
Sóc,Parok,pa rọoc,,,,Bru.txt
Soi,Tabal,ta băl,,,,Bru.txt
Sỏi,Tamáu ntrơăh,Ta-mau ân-trăh,,,,Bru.txt
Són,Sarũai,xa roai,,,,Bru.txt
Sóng,Lampơoh,lăm pơoh,,,,Bru.txt
Song (cây),"Karái chuang, karái păng","ca ray chuang, ka ray pang…",,,,Bru.txt
Sót,Khlâiq,khơ lâyq,,,,Bru.txt
Số,"Sỗq, kupéh","sộ, cu péh",,,,Bru.txt
Số 0,ắp (tỡ),ởah (tơ),,,,Bru.txt
Sổ mũi,"Hoi múh, hoi sarư","hoi múih, hoi xa rư",,,,Bru.txt
Số phận,Anhúq,a nhủ,,,,Bru.txt
Sôi,Sarlơak,xărh lặc,,,,Bru.txt
Sông,Krỗng,Cờ-rôông,,,,Bru.txt
Sống,Tamơong,ta môông,,,,Bru.txt
Sống (chưa chín),Kláu,cơlau,,,,Bru.txt
Sông cạn,Krỗng sarễt,cờ rôông xa rệt,,,,Bru.txt
Sống cộng đồng,Ỡt cha mpruam,ớt cha âm-proam,,,,Bru.txt
Sống dao,Kũr achũ,kur a chu,,,,Bru.txt
Sông mãi,Mantơat tamơong ník,Man-tặt ta-mơong níc,,,,Bru.txt
Sống mũi,Kuang múh,kuang múh,,,,Bru.txt
Sốt,Takóh kutâu tỗ,Ta-cỏh cu-tâu tô,,,,Bru.txt
Sốt,Takóh mprơih,ta cóh âm pơ rơi,,,,Bru.txt
Sốt rét,Takóh kutâu sangễt,Ta-cỏh cu-tâu xa-ngẹt,,,,Bru.txt
Sờ,Chuchơr,chu chơr,,,,Bru.txt
Sợ,Ngkăh,ầng kơah,,,,Bru.txt
Sở dĩ,Dôq nnắq,đổ ần nơah,,,,Bru.txt
Sởi,a-ĩ asắq,a-i a xở,,,,Bru.txt
Sợi (dây),"Samữ, chơang","xa mư, chằng",,,,Bru.txt
Sợi (tóc) Thanh (gươm),Treh,treh,,,,Bru.txt
Sờn,Rachĩk,ra chíc,,,,Bru.txt
Sơn (đgt),"Tia, atia","tia, a tia",,,,Bru.txt
Sơn dương,Kéh,kéh,,,,Bru.txt
Sủa,Krơoh,cờ róh,,,,Bru.txt
Súc (gỗ),Phlốh,phơ lốôc,,,,Bru.txt
Súc miệng,Kalóh,ca lóc,,,,Bru.txt
Sui,Amứng,a mừng,,,,Bru.txt
Súng,Saniat,xa níat,,,,Bru.txt
Sùng sục,Pũôl pũôl,Pũôl pũôl,,,,Bru.txt
Sung sướng,Tanga tangỗih,ta nga ta ngôôi,,,,Bru.txt
Suối,Dỡq tum,Đợq tum,,,,Bru.txt
Suối,Tũm,tum,,,,Bru.txt
Sụt lở,Ta-áh,ta áh,,,,Bru.txt
"Suy giảm, Kém, Sút","Sartut, sarléh","xăr tụt, xăr léh",,,,Bru.txt
Sư,Nhaku,nha cù,,,,Bru.txt
Sử dụng,Tắk,tắk,,,,Bru.txt
Sử dụng không,Tắk miat,tắk míat,,,,Bru.txt
Sửa,Atứk,a tực,,,,Bru.txt
Sửa chữa máy móc,Atứk máiq,A-tưc mạy,,,,Bru.txt
Sức mạnh,Rêng put,rêng put,,,,Bru.txt
Sực nhớ,Sanyữ lơah,xăn dư lơah,,,,Bru.txt
Sừng,Takoi,ta coi,,,,Bru.txt
Sưng tấy,Alh,áyh,,,,Bru.txt
"Sưng,  Phù","Áih, u-áih","áyh, u-áyh",,,,Bru.txt
Sưởi,Nghễng,ầng hêng,,,,Bru.txt
Sương,Latak,lác tác,,,,Bru.txt
Sương mù,Talúk lian,Ta-ỉục lian,,,,Bru.txt
Sương mù,Talúk,ta lục,,,,Bru.txt
Sứt mẻ,Sapĩh,xa píh,,,,Bru.txt
Sứt môi,"Saráiq tambớr, hữiq","xa ráy tăm bơr, hứi",,,,Bru.txt
Tác (hoẵng),Pông,pôông,,,,Bru.txt
Tác động,Rapáih,Ra-paỉh,,,,Bru.txt
Tai,Kutũr,Cù-tu-r,,,,Bru.txt
Tại (ở),Tâng,tâng,,,,Bru.txt
Tài ba,"Tabớiq, pla chiak","ta bơi, pơ la chiak",,,,Bru.txt
Tại đâu,Bon nléq,Bon ân-lẻ-q,,,,Bru.txt
Tài giỏi,Khếh rangơaiq,Khếh ra-ngạiq,,,,Bru.txt
Tài nguyên,Sanốk klỡp,xa nốôc cơ lớp,,,,Bru.txt
Tài nguyên môi trường,Sanốk klỡp tâng tanơah ỡt cha,Xa-nốc cờ-lớp tâng ta-náh ơt cha,,,,Bru.txt
"Tài sản, của cải",Sanốk,xa nốc,,,,Bru.txt
"Tại sao, vì sao","Kỗ nnắq, (ki nnắq)",Cỏ ân-nẳ-q(kì ần nẳq),,,,Bru.txt
Tài tình,Chiang blễng,chiang bơ leng,,,,Bru.txt
Tại xã,Katâm sáq,ca tâm xã,,,,Bru.txt
"Tại, đến, Đến khi",Tơâp,tơâp,,,,Bru.txt
Tám,Takual,Ta-coal,Kon rayoi kứq 8 (takual) chô kumo chơ,Con ra-doi cửq ta-coaỉ chô cu-mo chơ,Con út tôi đã 8 tuổi rồi,Bru.txt
Tạm  biệt,Ratáh atĩ,ra táh a ti,,,,Bru.txt
Tám mươi,Takual chứt,Takual chứt,,,,Bru.txt
Tan,"prúh, pữơi","pa rúh, pươi",,,,Bru.txt
Tan cuộc,"Tiaq, sĩang","tiaq, xiang",,,,Bru.txt
Tàn đi,Tũiq,túi,,,,Bru.txt
Tan hoang,Pláh plễq,"pơ láh, pơ lếq",,,,Bru.txt
Tán loạn,Puprư,pù pơ rư,,,,Bru.txt
Tàng trữ,Karĩam,ca riam,,,,Bru.txt
Tanh,Kahaiq,ca hái,,,,Bru.txt
Táo bón,Kayán,ca dăn,,,,Bru.txt
Tạo dựng cuộc sống,Chuaq cha,choaq cha,,,,Bru.txt
Tạo điều kiện,Taléh tutáq,ta leh tu tả,,,,Bru.txt
Tạo nên,Yỗn kỡt,Dôn cợt,,,,Bru.txt
"Tạo ra,  Dọn ra",Tễng,têng,,,,Bru.txt
Tát,Tapáh,ta páh,,,,Bru.txt
Tát nước,Sáh,xáh,,,,Bru.txt
Tay,Atĩ,A~ti,,,,Bru.txt
Tày,Tái,Tay,,,,Bru.txt
Tay áo,Atĩ au,A-ti ao,,,,Bru.txt
Tay làm,Atĩ táq,a ti tả,,,,Bru.txt
Tay nải,Parnơok,parnơok,,,,Bru.txt
Tắc,Rahĩt,ra hít,,,,Bru.txt
Tằm,Prưi muan,pa rưi moan,,,,Bru.txt
Tắm,Mpơi,Ằm-pơi,,,,Bru.txt
Tắm phao,Mpơi tơâq tôt,Âm-pơi tâq tôt,,,,Bru.txt
Tắt,"Pát, pupát","pắt, pu pắt",,,,Bru.txt
Tắt mắt,u-ĩt,u ít,,,,Bru.txt
Tấm (phên),Palêng,pa lêng,,,,Bru.txt
Tấm (ván),Talái,ta lay,,,,Bru.txt
Tấm gương,Pơâng o,pơâng ò,,,,Bru.txt
Tẩm màn bằng thuốc,Alôq prê atúq tâng dờq raháu,Ầ-ỉôq prê a-tủq tâng đợq ra-hau,,,,Bru.txt
Tâm rây,Liang sarái,Lỉang xa-ray,,,,Bru.txt
Tầng,Nchơn,ần chờn,,,,Bru.txt
Tập đọc,Riên rơai,Riên roai,,,,Bru.txt
Tập làm văn,Riên chĩk alái pamai,Rỉên chic a-lay par-nai,,,,Bru.txt
Tập trung,"Parỗm, tapống","pa rôm, ta pôông",,,,Bru.txt
Tập viêt,Riên chĩk,Riên chic,,,,Bru.txt
Tất cả,Nhéq từh,Nhẻ-q tư-h,,,,Bru.txt
Tất cả,Nhéq tữh(ka tữh),Nhẻ-q tư-h,,,,Bru.txt
"Tất cả, cả",Dếh,đếh,,,,Bru.txt
Té ngã,Dớm,Đầm,,,,Bru.txt
Teo,"Tatũi, sangot","ta túi, xa ngót",,,,Bru.txt
Tép,Asuôm,a xuôm,,,,Bru.txt
Tê,"Sapưn, sarpưn","xa pưn, xăr pưn",,,,Bru.txt
Tê giác,Ramiêih,Ra-mìêih,,,,Bru.txt
Tê tê (con),Payuôl,pa yuôl,,,,Bru.txt
Tên,Ramứh,Ra-mứh,Kứq ramứh la TaHữm,Cứ-q ra-mứ-h la Ta-Hưm,Mình tên là TaHữm.,Bru.txt
Tết,Cha tangái lơăh kumo,cha ta ngay lơah cu mo,,,,Bru.txt
Tí nữa,Mahỗi ễn,ma hôi ến,,,,Bru.txt
Ti vi,Ti vi,Ti vi,,,,Bru.txt
Tỉa cành,Talái abễng,Ta-láy a-bèng,,,,Bru.txt
Tích cóp,Kayáiq,ca dáy,,,,Bru.txt
Tích cực,Chốq mơaq,Chôq mảq,,,,Bru.txt
Tiêm chích,Chơat amut,Chặt a-mut,,,,Bru.txt
"Tiêm chích Châm, Đâm",Chơat,chằt,,,,Bru.txt
Tiêm phòng,Cho'at par-lai mprơih,Chat par-ỉai sa-ver âm-prơih,,,,Bru.txt
Tiêm thuốc,Chơat raháu parlai,Chặt ra-hau par-ỉaỉ,,,,Bru.txt
Tiền,Práq,Pờ-rảq,Mu lám kupâu saráq bữn chiaq sâm 50.000 (sỡng chứi ngin) práq,Mu lăm cu-pàu xa-ràq bưn chiaq xâm xơng chửt nghìn prảq,Một chiếc cặp sách giá khoảng 50.000 nghìn đồng.,Bru.txt
Tiên bộ,Kartuôn achôn,Car-tuôn a-chôn,,,,Bru.txt
Tiễn đưa,Asuôi rana,a xuôi ra na,,,,Bru.txt
Tiền vốn,Práq pôn,pa rả pồn,,,,Bru.txt
Tiếng,"sương, samiêng, simữơng","xương, xa miêng, xi mương",,,,Bru.txt
Tiếng Anh,Pamai Anh,Par-nai Anh,,,,Bru.txt
Tiếng nói,Parnai,păr nai,,,,Bru.txt
Tiếng nổ,Padắh,pa đơah,,,,Bru.txt
Tiếng tăm,"Chứh chia, parchia","chử chia, păr chia",,,,Bru.txt
Tiêng thác,Hô dỡq chơar,Hô đợq char,,,,Bru.txt
Tiếng Việt,Pamai Yuan,Par-naỉ Doan,,,,Bru.txt
Tiềp khách,Rơap tamoi,Răp ta-moỉ,,,,Bru.txt
Tiếp tục,To lơah,to lơah,,,,Bru.txt
Tiệt nòi,Dơt,dốôt,,,,Bru.txt
Tim,Palhỡm,pa hơm,,,,Bru.txt
Tìm,"Chuaq, vơât","chuaq,vất",,,,Bru.txt
Tím,"Trứm, trúk","trừm, trục",,,,Bru.txt
Tìm đường,Chuaq raveh,chuaq raveh,,,,Bru.txt
Tin (đgt),"Si-âm, sa-âm","xi âm, xa âm",,,,Bru.txt
Tin tưởng,Chơap,chờ ạp,,,,Bru.txt
Tỉnh,Tênh,Tênh,,,,Bru.txt
Tính,Tếng,têng,,,,Bru.txt
"Tình cảm, đoàn kết",Saryóh,Saryóh,,,,Bru.txt
Tình hình,Parhanh,Parhanh,,,,Bru.txt
Tính tình,Nêt nia,nệt nia,,,,Bru.txt
Tinh thần,Mứt pahỡm,mựt pa hơm,,,,Bru.txt
Típ (cơm),"Ngkhâu, ngkháu","ầng khâu, ầng khau",,,,Bru.txt
To,Tơâr,Tơâr,,,,Bru.txt
To lớn,Put tơâr,put tơâr,,,,Bru.txt
To và cao,Tơâr kớp put sarỡih,Tơâr cấp xa rớih,,,,Bru.txt
Toạc da,"Sarâiq, ravek","xa rấi, ra vẹc",,,,Bru.txt
Toàn là,Máng,màng,,,,Bru.txt
Toàn thể,Nhẽq tữh,nhẻ tữh,,,,Bru.txt
TÓC,Sók,Xóc,,,,Bru.txt
Tòe,Pưlưi,pư lưi,,,,Bru.txt
Tổ,Kantóh,Can-tó-h,Kantóh muôi bữn sếq náq?,Can-tó-h muôi bưn xế-q nả-q?,Tổ một có bao nhiêu bạn?,Bru.txt
Tổ chức,Dóh pang,Đóh pang,,,,Bru.txt
Tổ chức,Santuk,xăn tùc,,,,Bru.txt
Tổ quốc,Kuruang kutễq,Cu-roang cu-tẹq,,,,Bru.txt
Tổ quốc mình,Kuruang bữm,cu roàng bưm,,,,Bru.txt
"Tổ, nhóm","Kông , ( Takóq )",Côông ( Ta-cỏq),,,,Bru.txt
Tối,Kanám,Ca-năm,,,,Bru.txt
Tôi cần,Kứq yok,Cửq doc,,,,Bru.txt
Tối mịt,Kanám tilnhi,ca năm til nhil,,,,Bru.txt
Tối nay,Sadớu nái,Xa-đâu nay,,,,Bru.txt
Tội nghiệp,Bap tỗi,Bap tối,,,,Bru.txt
Tối tối,Bữ rabữ,bư ra bư,,,,Bru.txt
Tôi thích,Kứq samák,Cửq xa-mắc,,,,Bru.txt
"Tôi, em, bạn, anh, ...",Kứq,Cứ-q,,,,Bru.txt
Tôn trọng,Trĩh yám,Tríh dăm,,,,Bru.txt
"Tông, đụng","Klúh, tul","Cờ-luh, tul",,,,Bru.txt
Tốt xanh,Pahuô ramơong,pa hua ra môông,,,,Bru.txt
Tờ giây,Khlễk chơâiq,Kh-léc chẩiq,,,,Bru.txt
Tờ mờ sáng,Rơrơ,rờ rờ,,,,Bru.txt
Tờ văn bản,Liang saráq,liang xa rả,,,,Bru.txt
Tù đày,Tũ anúh,tu anuh,,,,Bru.txt
Tù va,Ndăh takoi thỗr,ân-đăh ta-coi thôr,,,,Bru.txt
Tua vải,Kansái priêi,căn xay pa ria,,,,Bru.txt
Tuần,Talùrp tangái,Ta-hưp ta-ngay,,,,Bru.txt
Tuần sau,Tahữp Tangái ntun,ta hưp ta ngay ần tùn,,,,Bru.txt
Tục họ,Rit mũ,rịt mu,,,,Bru.txt
Túi,"Thỗng, túi, kupâu","thôông, tui, cu pâu",,,,Bru.txt
Tủm tỉm,Kunhỗiq bỗq,cu nhối bộ,,,,Bru.txt
"Tung lên, hất lên",Apũôl,a puôl,,,,Bru.txt
Tung ra,"Tôi alơah, vơang trứh","Tôi alơah, vơang trứh",,,,Bru.txt
"Tuổi, nãm","Chô kumo,(kumo)","Chô cu-mo ,(Cu-mo)",,,,Bru.txt
Tuốt,"Rơah, sot","rah, xót",,,,Bru.txt
Tuột,Parlễk,pa lệc,,,,Bru.txt
Tuốt lúa,Sot saro,xót xa ro,,,,Bru.txt
Tùy,Tam,tàm,,,,Bru.txt
Tuyên truyền,Tếk atỡng,Tếc a-tơng,,,,Bru.txt
Tuyệt chủng,Dáp (kuchĩt dáp),Đắp(cu chít đắp),,,,Bru.txt
Từ,Tễ,Tê,,,,Bru.txt
Từ đó,Tễ ki,tê kì,,,,Bru.txt
Tự đổ,Tahok,ta học,,,,Bru.txt
Tự kiếm ăn,Chuaq cha bữm,Choaq cha bưm,,,,Bru.txt
Từ lâu,Dũnh thũal,đun thũal,,,,Bru.txt
"Tự nguyện, Lòng dạ",Pahỡm,pa hơm,,,,Bru.txt
Từ thiện,Lương savớt,lương xa vất,,,,Bru.txt
Từ trần,Luat bốn,loát buân,,,,Bru.txt
Từ trước đây,Tễ klĩ,tê cơ li,,,,Bru.txt
Từng gia đình,Ku dống,cù đôông,,,,Bru.txt
Tưới,Sarơah,xa-rah,,,,Bru.txt
Tưới nước,Sarơah dỡq,xa-rah đọ’q,,,,Bru.txt
Tươi tốt,O pahuô,0 pa-hua,,,,Bru.txt
Tượng,Kỗk rup,cốôc rụp,,,,Bru.txt
Tưởng niệm,Kukốh raviêi,Cù-cốh ra-via,,,,Bru.txt
Tỷ,tĩ,Tỷ-q,,,,Bru.txt
Tha,Táh sayũa,táh xa doa,,,,Bru.txt
Thả,Akláh,a cờ láh,,,,Bru.txt
Thả hoang,"Ria, akláh ria","rìaa , a cờ láh rìaa",,,,Bru.txt
Thả trôi,"Salỗi, alỗi","xa lôôi, a lôôi",,,,Bru.txt
Thác nước,Chơar dỡq păng,Char dợq păng,,,,Bru.txt
Thách,Kadỗq,k cờ dỗq,,,,Bru.txt
Thạch sùng,Sitễn,s cờ tễn,,,,Bru.txt
Thai,"Taniêm, mumiaq",taniêm xa doa,,,,Bru.txt
Thái,Sát,s cờ t,,,,Bru.txt
Thái dương,Rêng báng,rêng báng,,,,Bru.txt
Tham,Tham,t cờ am,,,,Bru.txt
Than,Kucháh,k cờ cháh,,,,Bru.txt
Than đá,Tamáu kucháh,tamáu kucháh,,,,Bru.txt
Than đỏ,Tahững,t cờ hững,,,,Bru.txt
Than thở,Kuklỗiq,k cờ klỗiq,,,,Bru.txt
Thang,Ntruang,n cờ ruang,,,,Bru.txt
Tháng,Kasâi,Ca-xây,,,,Bru.txt
Tháng 7,Kasâi rơăng,ca xây rơng,,,,Bru.txt
Tháng ba,Kasâi pakóíh,ca xây pa cối,,,,Bru.txt
Tháng giêng,Kasâi lêk,ca xây lệc,,,,Bru.txt
Tháng hai,Kasâi liak,ca xây lịac,,,,Bru.txt
Tháng mười,Kasâi tiang,ca xây tiang,,,,Bru.txt
Tháng mười âm lịch,kasâi ũt,Ca-xây ut,,,,Bru.txt
Tháng mười hai,Kasâi ong,ca xây oong,,,,Bru.txt
Tháng mưới một,Kasâi yáng,ca xây dăng,,,,Bru.txt
Tháng năm,Kasâi ra-al,ca xây ra al,,,,Bru.txt
Tháng sáu,Kasâi tứp,ca xây tứp,,,,Bru.txt
Tháng tám,Kasâi ring,ca xây rìng,,,,Bru.txt
Tháng tư âm,Kasâi salắng,ca xây xa lơng,,,,Bru.txt
Thanh,Prễng,pơ rễng,,,,Bru.txt
Thành,Kỡt,Cớt,,,,Bru.txt
Thanh bình,Iên o,lên ò,,,,Bru.txt
Thành công,Bữn pơon,bưn a pân,,,,Bru.txt
Thanh kiếm,Dau lũ,Đao lu,,,,Bru.txt
Thanh niên (nam),Tatơam,tờ tơam,,,,Bru.txt
Thanh niên (nữ),Kumũr,cu mũr,,,,Bru.txt
Thanh niên dân tộc,Kũai tatơam Sâu kũai bĩq bĩq,Coai ta-tăm xâu coai bị bị,,,,Bru.txt
Thành phố,Thánh phôq,Thanh phộq,,,,Bru.txt
Thành tích chiến đấu,Kia rachứl,kiaa ra chưl,,,,Bru.txt
Thành tích hoạt động,Kia ranáq,kiaa ra nả,,,,Bru.txt
"Thành thạo, điêu luyện",Chiang,chiang,,,,Bru.txt
Thanh thót,Sơân sarếq,xân xa rể,,,,Bru.txt
Thay đổi,Yuôr tamái,yuôr ta may,,,,Bru.txt
Thay đổi thời tiết,Palớt phũak mia mia,Pa-lớt phoác mia,,,,Bru.txt
"Thay đổi, đổi mới",Parlớt,par lớt,,,,Bru.txt
Thăm,Klơ,Cờ-lờ,,,,Bru.txt
Thăm bạn,Sa–óh yóu,xa óh dâu,,,,Bru.txt
Thăm bẫy,"Klơ, méq","cờ lờ, mẻ",,,,Bru.txt
Thăm nhau,"Méq, sar-óh",mẻ xa óh,,,,Bru.txt
Thằn lằn,"Kỗi, liluaq","côôi, li lòaq",,,,Bru.txt
Thẳng,Tanơang,Ta-năng,,,,Bru.txt
Thắng,Riap,riap,,,,Bru.txt
Thẳng hàng,Tanơang rana,Ta-năng ra-na,,,,Bru.txt
Thắp,Takát,ta căt,,,,Bru.txt
Thắp nhang,Takât lễh phuôm,Ta-cất ỉeh phuôm,,,,Bru.txt
Thắp sáng,Takát pơang,ta căt pàng,,,,Bru.txt
Thắt,Sarớt,xa rât,,,,Bru.txt
Thắt lưng,"Nit, mang-ễu","nịt,măng êo",,,,Bru.txt
Thân,Tỗ,tôô,,,,Bru.txt
Thần,Yiang,diang,,,,Bru.txt
Thận,"Panễl, karchễl","Panễl, karchễl",,,,Bru.txt
Thân áo,Tô au,tô ao,,,,Bru.txt
Thân cây,Kơâl,Kơâl,,,,Bru.txt
Thần chú,Alái mơon,a lay ra muân,,,,Bru.txt
Thần linh,Yiang parơah,diang pờ ràh,,,,Bru.txt
Thần lúa,Yiang Abỗn,diang A-bôn,,,,Bru.txt
Thân mình,Tỗ chák,tô chắc,,,,Bru.txt
Thấp Lùn,Dễn,đễn,,,,Bru.txt
Thấp thoáng,Blưp rablễp,bờ lứp ra bờ lễp,,,,Bru.txt
"Thấp, ít","dễn, bĩq","đễn,bịq",,,,Bru.txt
Thật,Samơât,sờ mơât,,,,Bru.txt
Thật thà,Patơat patia,Pa-tặt pa-tia,,,,Bru.txt
Thật thà,Tanơang mứt,ta nằng mứt,,,,Bru.txt
Thầy,Karu,ca ru,,,,Bru.txt
Thấy,Hữm,Hưm,,,,Bru.txt
Thầy cúng,Mo,mo,,,,Bru.txt
Thầy giáo,Anhi karu ariên,A-nhì cà-rùa riên,,,,Bru.txt
Thầy thuốc,Mo palai,"mo pa lai,",,,,Bru.txt
Theo,Puai,Poai,,,,Bru.txt
Theo dõi,Tatuaiq,Ta-toạỉ-q,,,,Bru.txt
Theo người,Tun tỗ,tùn tô,,,,Bru.txt
Thế,"Pakíq, ngkíq","pa kỉ, ần kỉ",,,,Bru.txt
Thế à,"Ngkíq, ngkíq víq","ầng kỉ,ầng kỉ vỉ",,,,Bru.txt
Thể dục,Táq ayiat abot,Tả-q a-diat a-bot,,,,Bru.txt
Thế đấy,Ngkíq ơiq,ầng kỉ ợi,,,,Bru.txt
Thế giới,Mương lứm,mường lừm,,,,Bru.txt
Thể nào,Nnẵq,An nằ-q,,,,Bru.txt
Thế nhưng,Ngkíq mơah,ưng-kỉq mà,,,,Bru.txt
Thêm vào,"ễn, tữm","ễn, tưm",,,,Bru.txt
Thi cử,Thi kứq,Thi cử,,,,Bru.txt
Thi đua,Táq tampling,Tảq tam-pơ-ỉỉng,,,,Bru.txt
Thị trấn,Thĩ trán,thi trăn,,,,Bru.txt
Thị trường,Pa ralêq rapúk,Pa ra-lệq ra-pục,,,,Bru.txt
Thìa,Buông,buông,,,,Bru.txt
Thích,Samák,Xa-mắc,,,,Bru.txt
Thiên nhiên,Yiang tễng,Diang teng,,,,Bru.txt
Thiên tai,Pahũan palơăng kutễq,pa huan pa lơng cu tễ,,,,Bru.txt
Thiếu,Ắq,ắq,,,,Bru.txt
Thiếu (kém đi),Yeh,yeh,,,,Bru.txt
Thiếu niên,Kũai sanyỡr,coai xăn dơr,,,,Bru.txt
Thiếu thốn,Ắq sapếq,Ấq xa-pếq,,,,Bru.txt
Thính,Ntrêng,ầng trềng,,,,Bru.txt
Thính (tai),"Chễng, blễng","chễng, bờ lễng",,,,Bru.txt
Thịt,Sâiq,xấi,,,,Bru.txt
Thỏ,Katai (ayuôn),Cà-taỉ (A-duôn ),,,,Bru.txt
Thoát,Rakláh,Ra-cơ-lah,,,,Bru.txt
Thọc,Kluaih,cờ luaih,,,,Bru.txt
Thói quen,Kơi,Cời,,,,Bru.txt
Thói quen,Tampêt,tăm pệt,,,,Bru.txt
Thòi ra,"Palơoh, sarleq","pa lơoh, sărleq",,,,Bru.txt
